,Frequency,Impedance,Phase
0,10000.0,974492.0991274415,-0.5831261701729318
1,11800.0,976827.4024738787,-1.1340437429469148
2,13600.0,969315.1367201671,-1.4899442695034963
3,15400.0,981767.9892370749,-1.1582196574270824
4,17200.0,989766.1530386033,-1.2876817821343707
5,19000.0,976205.0453305559,-1.6490537117905433
6,20800.0,977593.72647191,-2.1774310231853065
7,22600.0,981291.2269033608,-2.1785052334128636
8,24400.0,986322.4703924126,-2.4848520276224804
9,26200.0,975811.9979732644,-2.440906391454064
10,28000.0,978466.9715440011,-2.3256626329729784
11,29800.0,970036.4860857015,-2.8663313440446245
12,31600.0,975747.9856993235,-3.075421216300583
13,33400.0,970709.126025155,-3.535785151730522
14,35200.0,974845.259235241,-3.3716943251898783
15,37000.0,971877.0715988388,-3.642426507291759
16,38800.0,976797.4275544262,-3.4969979642008298
17,40600.0,977620.1222238969,-3.988509557953762
18,42400.0,976067.7151649186,-4.065368100616183
19,44200.0,978975.1001554518,-3.900480170640151
20,46000.0,986574.7292136885,-3.5112296052070633
21,47800.0,975944.068201982,-4.2205581944108985
22,49600.0,994551.7828060874,-4.432540861595044
23,51400.0,978095.2692783201,-4.919294189074321
24,53200.0,981318.0587264702,-4.864646620591657
25,55000.0,963175.9725549695,-5.011173624208709
26,56800.0,970710.5794801081,-5.327364456863052
27,58600.0,980100.9794836653,-5.277396339588279
28,60400.0,968483.5312621982,-4.774504760474713
29,62200.0,972004.2168700423,-5.990555542813183
30,64000.0,979653.8074103324,-5.800183334360497
31,65800.0,971918.5761039392,-5.790000636512843
32,67600.0,968874.7579992713,-6.087631711257018
33,69400.0,959127.1318331102,-5.282156565612979
34,71200.0,972058.768437334,-6.429412914842089
35,73000.0,975056.7000935837,-5.812219410077091
36,74800.0,959576.9924368028,-6.501532346560339
37,76600.0,968101.3345880617,-6.583181517827086
38,78400.0,959717.654533587,-7.005908113786234
39,80200.0,971832.2304123647,-6.415528682901879
40,82000.0,955921.4728606993,-6.968069886868648
41,83800.0,988815.147250353,-7.797949924543673
42,85600.0,967759.038315934,-7.2893136760641255
43,87400.0,963763.504769631,-8.104512052044697
44,89200.0,970379.6456985123,-8.051335198801837
45,91000.0,964988.0268602708,-8.014799874023367
46,92800.0,968560.2282929615,-8.347120057608834
47,94600.0,971142.1012204222,-8.805517361594923
48,96400.0,966940.531716174,-8.76522783055168
49,98200.0,957156.4520475409,-8.475750613331911
50,100000.0,968588.9591177278,-9.731800818440092
