,Frequency,Impedance,Phase
0,10000.0,470364.2221661047,-0.20809744811992914
1,11800.0,470364.40663809335,-0.4438862884751984
2,13600.0,470506.9606097288,-0.7474673929756932
3,15400.0,471671.4101598659,-0.6916574637901363
4,17200.0,472431.5898494926,-0.6788099747172964
5,19000.0,469670.3253835101,-0.7490642439234989
6,20800.0,472328.18287172576,-0.8503154391208341
7,22600.0,472923.4999266029,-0.8047279608462077
8,24400.0,472289.0656943411,-0.9507211598069603
9,26200.0,471454.7757505474,-1.1033064991191281
10,28000.0,470982.4148319567,-1.1190453100299464
11,29800.0,471711.08339948684,-1.204449933205069
12,31600.0,471943.66816326533,-1.2704165091334971
13,33400.0,472016.9175780618,-1.3130449290852084
14,35200.0,471289.2622924428,-1.5982493117603553
15,37000.0,472093.87878371653,-1.562813272128551
16,38800.0,471641.1959512667,-1.5552139759436159
17,40600.0,471191.3527109047,-1.6169531698914739
18,42400.0,471522.2161706995,-1.8371485642665561
19,44200.0,472683.70390900987,-1.8857133767675691
20,46000.0,471972.5535819571,-2.070788785823936
21,47800.0,471804.0354657778,-2.044578842370754
22,49600.0,471792.86859333713,-2.072208533170283
23,51400.0,472118.40821881004,-2.0806478684359604
24,53200.0,472360.6601504873,-2.465965050237969
25,55000.0,470409.1342523503,-2.2195491483460046
26,56800.0,473351.50186133315,-2.492774799614665
27,58600.0,471165.24903613946,-2.509405282753903
28,60400.0,471042.6462054851,-2.498784285769432
29,62200.0,471444.1808682414,-2.5977900822339848
30,64000.0,470772.24816940224,-2.4888095501140697
31,65800.0,472018.6758125435,-2.60760140162472
32,67600.0,470961.29912363476,-2.7304677572290075
33,69400.0,471794.0140860358,-2.833669376327123
34,71200.0,471560.45001990197,-2.9866561627507053
35,73000.0,471207.92421907355,-2.9548134041612
36,74800.0,471420.13177967304,-2.996353270960128
37,76600.0,470408.13808710733,-3.126939012564776
38,78400.0,470575.713874236,-3.3021543250715695
39,80200.0,469626.62065552233,-3.324715004128791
40,82000.0,470385.3921091302,-3.2531373404099213
41,83800.0,469316.378346045,-3.3610872342126754
42,85600.0,471034.88091921184,-3.6271962350565445
43,87400.0,471679.412684115,-3.367663205771578
44,89200.0,467632.7263703314,-3.794089390904105
45,91000.0,471098.31240028015,-3.6638950098389955
46,92800.0,470599.2606252639,-3.5519822619854153
47,94600.0,468798.529071358,-4.11622522170245
48,96400.0,470250.19965569716,-3.9042379735269037
49,98200.0,469924.48387709976,-4.070118487753859
50,100000.0,471955.90446038166,-4.161355369327623
