,Frequency,Impedance,Phase
0,10000.0,19472.890201282054,-0.010146745880661001
1,11800.0,19485.004990544454,-0.05661499452833141
2,13600.0,19478.08542827894,-0.09268554917554184
3,15400.0,19492.81177983145,-0.06810650319386014
4,17200.0,19490.314391237327,-0.055402711903354884
5,19000.0,19474.09926287286,-0.09775451499115206
6,20800.0,19496.778779913235,-0.08540003758480452
7,22600.0,19482.139246217892,0.007247463810131194
8,24400.0,19499.958752019465,-0.038723869633145114
9,26200.0,19491.431076497312,-0.10227482162514434
10,28000.0,19494.433262204886,-0.11981171429567894
11,29800.0,19475.8327187611,-0.10984772878686044
12,31600.0,19486.69118158629,-0.10663353742955906
13,33400.0,19487.362882223635,-0.1689993877288316
14,35200.0,19507.042603276717,-0.164470989807171
15,37000.0,19488.698611496155,-0.11333365429720743
16,38800.0,19488.652984499327,-0.13973045830920228
17,40600.0,19493.810807858103,-0.15798031808145652
18,42400.0,19502.21939504812,-0.17810878020276277
19,44200.0,19493.324869293207,-0.14647977792861866
20,46000.0,19482.31306282374,-0.15157524826094004
21,47800.0,19486.635276796813,-0.1983368740898186
22,49600.0,19494.851480685076,-0.18759782623379806
23,51400.0,19493.8910970818,-0.18790995672617328
24,53200.0,19476.404005479293,-0.25053685243682366
25,55000.0,19491.185576582553,-0.18991734658879977
26,56800.0,19468.77196122548,-0.07669150351910048
27,58600.0,19476.53335036774,-0.23359748934973368
28,60400.0,19487.80267746501,-0.2646524160945205
29,62200.0,19497.294575515025,-0.2524826802841176
30,64000.0,19471.687141959865,-0.25533209073552143
31,65800.0,19494.30004551307,-0.2437347727756105
32,67600.0,19486.467441461977,-0.3112935800455148
33,69400.0,19505.03747773696,-0.30896784075230244
34,71200.0,19500.666318704378,-0.29953783316824456
35,73000.0,19493.368540196934,-0.290983067446291
36,74800.0,19497.526608791617,-0.3043918414953737
37,76600.0,19486.059687722594,-0.31068233668844414
38,78400.0,19495.306235507862,-0.31446217019151845
39,80200.0,19493.150394832122,-0.2855681122802025
40,82000.0,19489.390495963224,-0.31909971829213646
41,83800.0,19484.25597611373,-0.3716753953074772
42,85600.0,19486.740007748627,-0.3267178073793957
43,87400.0,19494.597222232675,-0.3418286081382007
44,89200.0,19492.73637492127,-0.40564513407076674
45,91000.0,19496.31357187401,-0.35794633828237465
46,92800.0,19488.137412892276,-0.39929078868055967
47,94600.0,19505.083788260526,-0.36030682438774875
48,96400.0,19495.95148695141,-0.4068023697638523
49,98200.0,19505.921573738924,-0.38950124200260916
50,100000.0,19492.53867046397,-0.38070751179236595
