,Frequency,Impedance,Phase
0,10000.0,47899.586697135775,-15.687694010242694
1,11800.0,47256.9166650395,-18.623923557474143
2,13600.0,46575.57591675509,-21.06540894898137
3,15400.0,45902.15231431483,-23.554164261725816
4,17200.0,44947.53770887749,-25.58287553763438
5,19000.0,43744.8940170839,-28.32793341155559
6,20800.0,42890.49575155815,-30.381018620849716
7,22600.0,42249.01391588319,-32.69320816522554
8,24400.0,41119.370151050745,-34.415422037158294
9,26200.0,40036.59169991376,-36.61867046527692
10,28000.0,39179.0605100844,-38.52418999170223
11,29800.0,38229.9335289521,-40.30003369709951
12,31600.0,37245.3393199868,-41.91884647220914
13,33400.0,36344.99305499641,-43.48491216915215
14,35200.0,35354.665619649786,-44.821246472697396
15,37000.0,34433.0389247834,-46.36652519844233
16,38800.0,33489.25666926601,-47.74738043432566
17,40600.0,32637.51233204243,-49.10860358252211
18,42400.0,31859.36231817742,-50.30456351453461
19,44200.0,31202.12438102096,-51.53159752252532
20,46000.0,30403.139675247872,-52.65659490027059
21,47800.0,29716.438715108703,-53.796275691927804
22,49600.0,28942.43449958094,-54.69533786370755
23,51400.0,28336.207324963558,-55.57930775328907
24,53200.0,27606.63356060346,-56.54693261064779
25,55000.0,26903.153665010508,-57.55431591533312
26,56800.0,26299.848178046246,-58.44544314273668
27,58600.0,25723.643391229532,-59.06430565253959
28,60400.0,25184.062657016653,-59.837574485512164
29,62200.0,24743.525921276683,-60.611857870495214
30,64000.0,24034.47304427564,-61.4428110863679
31,65800.0,23601.29943797525,-62.074577919538314
32,67600.0,23040.30703107478,-62.729883073762124
33,69400.0,22608.69110852132,-63.205297902406244
34,71200.0,22131.767200244067,-63.9320593698599
35,73000.0,21721.071052245556,-64.38560433007666
36,74800.0,21252.204136576132,-64.953291411328
37,76600.0,20878.05390410812,-65.54992583040763
38,78400.0,20418.68970292517,-66.0837271008266
39,80200.0,20100.00112443496,-66.62309579128834
40,82000.0,19641.604832201036,-67.13531175365068
41,83800.0,19254.80808575699,-67.43046819063926
42,85600.0,18970.336274854828,-67.95274837810291
43,87400.0,18632.69091390697,-68.46113101255071
44,89200.0,18294.950145151834,-68.61132222206805
45,91000.0,18021.020916080543,-69.23426679549175
46,92800.0,17694.09427819693,-69.84939608410048
47,94600.0,17383.38466688393,-70.00011672987864
48,96400.0,17071.607291545566,-70.35450211446488
49,98200.0,16827.976799928445,-70.76667866511701
50,100000.0,16574.98811939409,-71.01028363154643
