,Frequency,Impedance,Phase
0,10000.0,66782.77038995393,0.1322297196216482
1,11800.0,66962.33314546024,-0.10373447361246235
2,13600.0,66734.31888412865,-0.3403793712041647
3,15400.0,67003.61063248484,-0.12063148671887802
4,17200.0,67153.15022437935,-0.20194059446015444
5,19000.0,66837.31197799185,-0.13987547401364964
6,20800.0,67003.22789354838,-0.25463069879810973
7,22600.0,66714.01104436693,-0.4253922656077407
8,24400.0,67033.48234537113,-0.18065128388445828
9,26200.0,66980.16576603135,-0.22595779175264852
10,28000.0,67130.10870170813,-0.19165125287139517
11,29800.0,66958.27033377845,-0.18708452943235443
12,31600.0,67078.75715768948,-0.21538933319948228
13,33400.0,67002.61404103716,-0.27639853419339033
14,35200.0,67248.80925343974,-0.4737501288117869
15,37000.0,67081.65125927194,-0.43532243084240463
16,38800.0,67028.44456056177,-0.29468098017218836
17,40600.0,67084.95004195705,-0.4192298701964887
18,42400.0,66942.55921847346,-0.40031148713649145
19,44200.0,67127.84090173151,-0.31178115590682864
20,46000.0,67020.21278297002,-0.295239829889681
21,47800.0,66966.73783494323,-0.4664873750962215
22,49600.0,67022.21384817589,-0.46540109412700303
23,51400.0,67039.90784901037,-0.42452662677857234
24,53200.0,66861.0368967815,-0.4239805085630337
25,55000.0,67028.752280079,-0.5196236730866985
26,56800.0,67629.24783596085,-0.10906224965918909
27,58600.0,67083.75072713554,-0.5724825396889628
28,60400.0,66928.55155448188,-0.5759685305245625
29,62200.0,67189.25624855138,-0.6318659700340845
30,64000.0,66883.93447792434,-0.623845740079787
31,65800.0,66931.51246734882,-0.46299480698149864
32,67600.0,67045.89553768575,-0.5407303603917626
33,69400.0,66987.9170770619,-0.5573750667170998
34,71200.0,67070.71299416691,-0.5440439424545502
35,73000.0,67121.58903608436,-0.5490465560521898
36,74800.0,66939.99263548563,-0.7403247646395243
37,76600.0,67023.07498727075,-0.5989404903476157
38,78400.0,66995.28497339654,-0.5944005720305086
39,80200.0,67161.88752411943,-0.7867721360776727
40,82000.0,67176.96820208362,-0.701955564080663
41,83800.0,67152.98306629373,-0.7914886948313438
42,85600.0,67050.30678011574,-0.684219459651672
43,87400.0,67110.33151349687,-0.6532285296426039
44,89200.0,67232.56581680912,-0.6847667082149655
45,91000.0,67115.15484240964,-0.8126226048290732
46,92800.0,66920.74763949071,-0.7593901866509896
47,94600.0,67093.5498283603,-0.7911411596399489
48,96400.0,67041.02227642627,-0.7559866904885553
49,98200.0,66989.8924839309,-0.7551741368039302
50,100000.0,67092.40459789243,-0.7961762830469752
