,Frequency,Impedance,Phase
0,10000.0,5019.41788770248,-0.49480069235022484
1,11800.0,5027.191564258666,-0.7979184616277735
2,13600.0,5022.584116144395,-1.0277092168003605
3,15400.0,5037.839367173652,-1.0167806343083612
4,17200.0,5039.1645576268465,-1.0696798675098762
5,19000.0,5020.198573259659,-1.227451969810943
6,20800.0,5030.239746373795,-1.4596962585691813
7,22600.0,5017.2388751067865,-1.4840746570201873
8,24400.0,5033.149338935202,-1.6365047178808823
9,26200.0,5029.432202372304,-1.7932649339675777
10,28000.0,5040.018896373128,-1.831144443902474
11,29800.0,5029.247003805082,-1.9792817128088132
12,31600.0,5026.50038421153,-2.1624993810313526
13,33400.0,5033.717917137392,-2.2198978166496204
14,35200.0,5029.212007426727,-2.517999589374597
15,37000.0,5038.633152321602,-2.4721674207484625
16,38800.0,5030.663408141338,-2.610834777525554
17,40600.0,5025.681434419316,-2.807218959704926
18,42400.0,5022.394760025051,-2.926619618801226
19,44200.0,5029.792006614445,-3.0605963892355135
20,46000.0,5024.105482158055,-3.093790615041428
21,47800.0,5028.912996668076,-3.226677721772319
22,49600.0,5028.074144545134,-3.351484736668567
23,51400.0,5027.188491428112,-3.4443988271854664
24,53200.0,5021.999467581402,-3.6711713597848643
25,55000.0,5022.672978719544,-3.7224912903586187
26,56800.0,5011.737690124423,-3.6469038700434453
27,58600.0,5023.289467248803,-4.051515025517517
28,60400.0,5024.514551123426,-4.111448065500667
29,62200.0,5025.421691916218,-4.197434521791081
30,64000.0,5026.735648990463,-4.322588811848959
31,65800.0,5026.066180273663,-4.4355753215427285
32,67600.0,5010.405847568606,-4.495856134552753
33,69400.0,5018.618083291214,-4.734408387710005
34,71200.0,5023.747047118247,-4.717838046266536
35,73000.0,5019.977780816946,-4.855455681877913
36,74800.0,5011.769391569998,-4.940892356074016
37,76600.0,5017.6689805108335,-5.107715073409054
38,78400.0,5020.251209808038,-5.241932484912695
39,80200.0,5022.149372208956,-5.158641739116206
40,82000.0,5016.515803696686,-5.5084288947866185
41,83800.0,5013.673952697089,-5.628263045240487
42,85600.0,5012.316235939799,-5.73574827938404
43,87400.0,5013.523405420625,-5.803086641606114
44,89200.0,5013.649787704696,-5.854215186932777
45,91000.0,5010.746641689902,-6.025659964984584
46,92800.0,5005.87983868673,-6.158915949920129
47,94600.0,5015.615082373758,-6.3203185743472545
48,96400.0,5006.445112388795,-6.379226343712844
49,98200.0,5007.384559142911,-6.4553583441010005
50,100000.0,5004.826965167429,-6.584479994672336
