frequency,impedance,phase
10000,149419.23,-18.509583
11800,149527.5,-0.122009
13600,149435.63,0.453766
15400,149714.67,0.414246
17200,149843.41,0.303436
19000,149589.67,0.316772
20800,149573.3,0.265381
22600,149544.59,0.169678
24400,149330.56,0.237671
26200,149562.13,0.239044
28000,149411.45,0.190155
29800,149523.23,0.138153
31600,149728.42,0.11908
33400,149632.36,0.199799
35200,149312.78,0.128235
37000,149508.08,0.144775
38800,149563.72,0.050964
40600,149509.22,0.021759
42400,149526.11,0.004303
44200,149211.27,0.064453
46000,149704.63,0.038849
47800,149563.06,-0.046021
49600,149494.2,-0.059723
51400,149398.41,-0.043518
53200,149500.95,-0.103241
55000,149399.33,-0.034454
56800,149462.19,-0.068085
58600,149506.95,-0.118774
60400,149443.22,-0.232025
62200,149400.5,-0.130615
64000,149496.81,-0.172333
65800,149191.0,-0.122162
67600,149195.73,-0.263062
69400,149397.67,-0.264709
71200,149386.44,-0.201447
73000,149335.09,-0.303986
74800,149181.91,-0.244415
76600,149379.59,-0.302612
78400,149366.56,-0.32785
80200,149201.28,-0.334778
82000,149166.25,-0.311432
83800,149306.45,-0.302948
85600,149228.81,-0.359863
87400,149143.39,-0.319702
89200,149351.27,-0.439575
91000,149260.34,-0.40976
92800,149251.36,-0.457642
94600,149092.7,-0.426636
96400,149180.09,-0.509369
98200,149352.45,-0.490204
100000,149137.5,-0.503998
