frequency,impedance,phase
10000,963052.81,-19.912445
11800,962399.31,-21.2034
13600,958010.0,-20.391907
15400,969727.44,-21.180908
17200,964291.38,-21.39801
19000,960928.44,-21.805206
20800,959972.81,-21.964844
22600,958422.56,-22.530029
24400,955141.56,-22.45401
26200,958389.5,-22.711639
28000,950731.19,-22.710663
29800,952732.19,-23.204987
31600,954584.44,-23.392883
33400,951262.19,-5.552307
35200,950288.5,-5.107513
37000,950071.69,-5.533356
38800,945047.63,-5.686859
40600,944621.56,-6.03363
42400,938152.88,-6.522369
44200,939793.19,-6.062469
46000,941255.63,-6.838379
47800,939292.38,-7.073395
49600,942210.25,-7.316986
51400,932835.06,-7.628815
53200,930842.06,-8.021606
55000,929162.63,-8.006744
56800,929019.88,-8.51825
58600,926152.0,-8.47345
60400,925457.94,-8.737854
62200,918624.25,-8.626892
64000,924345.0,-9.242798
65800,915326.44,-9.572662
67600,919032.88,-9.694122
69400,914496.5,-10.017639
71200,912435.69,-10.375427
73000,906503.56,-10.526947
74800,913062.19,-10.418701
76600,916180.25,-10.874115
78400,910689.69,-11.015076
80200,900345.81,-11.324341
82000,903186.25,-11.558563
83800,900107.94,-12.16333
85600,896376.13,-12.114716
87400,890945.69,-12.507019
89200,890232.56,-12.582916
91000,890864.75,-12.658295
92800,886505.25,-12.832214
94600,890923.06,-13.335205
96400,885969.69,-13.425018
98200,879796.75,-13.478485
100000,877623.5,-13.852631
