frequency,impedance,phase
10000,9965.3887,-16.860229
11800,9970.8672,-16.865631
13600,9964.707,-16.752197
15400,10009.511,1.112518
17200,10009.359,1.473785
19000,10004.563,1.530029
20800,10016.452,1.418579
22600,9995.29,1.433044
24400,9998.0879,1.459869
26200,10003.543,1.425293
28000,9997.8408,1.427338
29800,10009.687,1.493042
31600,10003.352,1.411987
33400,10003.348,1.432312
35200,10005.609,1.405945
37000,10004.001,1.377472
38800,10002.355,1.412445
40600,10006.95,1.414093
42400,10000.593,1.40799
44200,10000.441,1.451538
46000,10009.792,1.412537
47800,9999.0674,1.359497
49600,10008.735,1.391876
51400,10006.345,1.337494
53200,9997.6436,1.36322
55000,9994.4414,1.450378
56800,10004.47,1.401367
58600,9998.459,1.430908
60400,10010.841,1.404816
62200,10004.504,1.354797
64000,10008.889,1.407867
65800,10005.454,1.361694
67600,10002.849,1.38446
69400,9998.9893,1.410583
71200,10009.32,1.407745
73000,9997.8184,1.376648
74800,10004.035,1.391998
76600,10008.346,1.385132
78400,9997.877,1.410461
80200,10006.03,1.410675
82000,10000.463,1.372406
83800,9999.3984,1.367126
85600,9993.6338,1.401367
87400,9999.3223,1.423279
89200,10006.902,1.417847
91000,10004.616,1.398285
92800,10005.812,1.329529
94600,10000.095,1.374939
96400,10007.861,1.353088
98200,9997.1934,1.375397
100000,9996.9014,1.359802
