frequency,impedance,phase
10000,1000000.1,0.0
11800,1000406.4,0.476532
13600,998106.88,0.489014
15400,1002566.3,0.501373
17200,1000748.9,0.466187
19000,1001199.4,0.556458
20800,1000151.0,0.540283
22600,998693.56,0.404266
24400,998706.56,0.46463
26200,1001557.6,0.418762
28000,999982.0,0.428833
29800,1002229.1,0.578217
31600,1000977.9,0.464722
33400,997209.31,0.507202
35200,1000976.5,0.505432
37000,1002867.9,0.501251
38800,1001489.8,0.339447
40600,1002419.8,0.48053
42400,995466.06,0.378021
44200,1002096.7,0.49881
46000,1003434.7,0.389221
47800,1003753.7,0.424133
49600,1001465.3,0.393616
51400,1001723.3,0.559082
53200,1002312.3,0.384857
55000,1001247.4,0.49115
56800,1001116.6,0.452148
58600,999874.25,0.478424
60400,999774.44,0.549164
62200,998118.69,0.453796
64000,1003056.1,0.313324
65800,1000495.8,0.468414
67600,1001134.9,0.467407
69400,1001472.1,0.432037
71200,1001390.1,0.392792
73000,1000921.4,0.40271
74800,1001821.0,0.429474
76600,1002870.3,0.313812
78400,1000354.8,0.453613
80200,1000204.7,0.437897
82000,1000847.9,0.465881
83800,1001780.5,0.277985
85600,1002133.8,0.393768
87400,1002128.3,0.403137
89200,1001139.1,0.465088
91000,1000914.6,0.370087
92800,1005836.1,0.440491
94600,998955.75,0.373718
96400,1000330.8,0.294067
98200,999629.81,0.407745
100000,1000815.1,0.314209
