frequency,impedance,phase
10000,3490715.0,-51.586838
11800,3389836.3,-53.265381
13600,3490021.0,-30.716415
15400,3435382.8,-31.561279
17200,3390169.8,-31.909958
19000,3324621.8,-32.206329
20800,3246862.5,-32.744781
22600,3195489.8,-33.222137
24400,3133620.8,-33.724396
26200,3080916.5,-34.26564
28000,3026550.3,-34.658539
29800,2982540.3,-35.107422
31600,2935478.3,-35.432434
33400,2876353.8,-36.245728
35200,2836202.0,-36.432068
37000,2782927.8,-36.270905
38800,2751307.5,-36.686859
40600,2692718.3,-36.293167
42400,2658473.5,-37.140884
44200,2639507.3,-36.979004
46000,2588477.0,-37.800018
47800,2563927.8,-37.646545
49600,2540295.5,-37.412781
51400,2486063.8,-37.968964
53200,2442328.0,-37.67247
55000,2422891.5,-37.828613
56800,2382306.0,-38.441498
58600,2362509.3,-38.188751
60400,2335102.3,-38.207306
62200,2317367.3,-38.075974
64000,2270932.0,-38.483322
65800,2245364.0,-38.352844
67600,2228545.0,-38.054825
69400,2198336.3,-38.353058
71200,2168954.8,-38.496597
73000,2154160.8,-38.264542
74800,2124593.3,-38.412308
76600,2105070.8,-38.578033
78400,2071154.5,-38.350555
80200,2059186.5,-38.363342
82000,2037049.8,-38.27771
83800,2020568.1,-38.011627
85600,1993816.5,-38.200226
87400,1979490.3,-38.327576
89200,1968792.1,-38.115204
91000,1945095.8,-37.945221
92800,1929149.5,-37.925537
94600,1903569.5,-38.023407
96400,1900908.5,-37.972748
98200,1874561.1,-37.778809
100000,1860173.5,-37.82605
