frequency,impedance,phase
10000,999.99994,0.0
11800,1000.0339,0.297424
13600,999.60565,0.487152
15400,1001.8201,0.334198
17200,999.38428,0.357819
19000,999.80505,0.378723
20800,999.85114,0.385284
22600,999.99695,0.351685
24400,1000.1345,0.400024
26200,1000.6349,0.352417
28000,999.43274,0.364868
29800,1000.6519,0.389069
31600,1000.5204,0.353149
33400,1000.1646,0.355865
35200,999.73022,0.35144
37000,1000.4659,0.33667
38800,999.51447,0.36142
40600,1000.8126,0.336182
42400,999.92847,0.313904
44200,1000.3696,0.403168
46000,1000.9916,0.3172
47800,999.63251,0.31134
49600,1000.5837,0.348816
51400,1000.1805,0.313812
53200,999.70386,0.319305
55000,999.83368,0.351654
56800,1000.2751,0.316986
58600,999.95447,0.354706
60400,1000.3053,0.361115
62200,999.70386,0.327484
64000,1000.5594,0.379059
65800,1000.1263,0.354065
67600,1000.1722,0.319244
69400,999.8584,0.350708
71200,1000.1414,0.350555
73000,999.30365,0.341461
74800,999.83832,0.38913
76600,1000.8987,0.331116
78400,999.79706,0.365479
80200,999.81451,0.304718
82000,1000.7256,0.342865
83800,999.64655,0.320862
85600,1000.7629,0.327148
87400,999.47076,0.336975
89200,999.9671,0.386169
91000,1000.3208,0.345245
92800,1000.5682,0.32074
94600,1000.0872,0.398254
96400,1000.3093,0.347809
98200,1000.1394,0.351074
100000,1000.2346,0.347961
