frequency,impedance,phase
10000,3286.5676,-16.589386
11800,3286.0762,-16.807007
13600,3291.8604,1.380157
15400,3309.8828,1.634674
17200,3305.4705,1.727203
19000,3307.6882,1.569427
20800,3299.9023,1.675446
22600,3306.4353,1.569153
24400,3294.8721,1.778534
26200,3304.8867,1.668701
28000,3296.8367,1.825714
29800,3302.1606,1.749817
31600,3303.1975,1.75116
33400,3307.7478,1.797974
35200,3304.6321,1.827942
37000,3303.1926,1.84201
38800,3298.542,1.83493
40600,3303.7278,1.901306
42400,3298.4612,1.863861
44200,3301.0444,2.077789
46000,3312.1016,1.937286
47800,3306.0952,2.004669
49600,3308.4138,1.895264
51400,3299.6536,2.009674
53200,3305.7151,2.022552
55000,3301.895,2.038361
56800,3303.1453,2.049469
58600,3300.1797,2.11792
60400,3306.064,2.050842
62200,3304.6228,2.193329
64000,3314.134,2.213318
65800,3299.7317,2.169769
67600,3307.302,2.205872
69400,3304.9688,2.217926
71200,3303.2996,2.23822
73000,3301.1682,2.281677
74800,3303.113,2.348419
76600,3303.2405,2.267944
78400,3299.1313,2.287506
80200,3300.0669,2.288513
82000,3301.0242,2.311462
83800,3303.7029,2.339508
85600,3302.4397,2.362152
87400,3304.2998,2.408661
89200,3305.4187,2.452209
91000,3306.1443,2.447723
92800,3304.1392,2.472565
94600,3301.4265,2.482513
96400,3303.9429,2.449402
98200,3301.6694,2.565094
100000,3300.2681,2.567291
