frequency,impedance,phase
10000.0,4978613.9319454795,-6.349190303622947
11800.0,4957848.810841575,-8.418002771218198
13600.0,4924375.84992079,-9.953705144539867
15400.0,5093261.344407926,-10.124133349347801
17200.0,4864003.758275326,-11.77508080441362
19000.0,4874641.215825011,-12.667890268246481
20800.0,4850032.506351754,-13.857251873170298
22600.0,4782141.099717365,-14.597211715800029
24400.0,4846004.092154673,-15.56520457205653
26200.0,4739889.2523051435,-16.66090215828575
28000.0,4715249.188107655,-18.17912722795444
29800.0,4679755.31108668,-20.03561179879398
31600.0,4725729.591123295,-20.73770647342485
33400.0,4515803.888628544,-20.04146022144039
35200.0,4532091.481260784,-22.435650988695613
37000.0,4492107.205773879,-23.505203977586632
38800.0,4439981.59890381,-24.065365494929097
40600.0,4421107.328730977,-24.946320978041285
42400.0,4335879.6392547125,-24.420284314853404
44200.0,4313020.2379900385,-26.926032782680863
46000.0,4264579.79716115,-27.873915210092775
47800.0,4219385.299550185,-28.966086108100626
49600.0,4224892.5419497285,-29.428185334434772
51400.0,4108921.063122378,-30.430498206741674
53200.0,4078684.3088438907,-30.79568142237474
55000.0,3978609.615690377,-31.61571522009723
56800.0,3969109.5330252387,-31.789794447616032
58600.0,3996910.3781569446,-32.769849409724145
60400.0,3909981.062233346,-33.98431685561309
62200.0,3998794.4792893454,-35.20750294548964
64000.0,3803867.034919387,-35.08359194400009
65800.0,3705700.894396203,-35.70428763724368
67600.0,3630821.805127505,-36.13545212007125
69400.0,3613260.9331887956,-37.28864835207571
71200.0,3681387.250356694,-36.88910759016022
73000.0,3585787.54834282,-38.53294338852402
74800.0,3548202.827766528,-37.64065176327796
76600.0,3510697.8565204623,-40.91491058590253
78400.0,3567294.6302638217,-39.76287696431967
80200.0,3356817.2224894715,-38.72994912690541
82000.0,3330893.108644278,-42.274797640649865
83800.0,3328225.074408025,-40.28023346296186
85600.0,3277371.2957917233,-41.72352464590665
87400.0,3263518.2375367517,-41.00936114408438
89200.0,3200329.703419183,-42.77559478741739
91000.0,3173719.954287906,-40.81797603990907
92800.0,3132829.81121797,-42.10203182964739
94600.0,3135219.402840445,316.82209211593704
96400.0,3073059.651411315,315.2918957968236
98200.0,3036048.8967162203,316.4582930817256
100000.0,2984179.344481307,315.8927488938454
